Wolfsburg,34,21,6,7,80,41,+39,69
Bayern München,34,20,7,7,71,42,+29,67
Stuttgart,34,19,7,8,63,43,+20,64
Hertha Berlin,34,19,6,9,48,41,+7,63
Hamburg,34,19,4,11,49,47,+2,61
B. Dortmund,34,15,14,5,60,37,+23,59
Hoffenheim,34,15,10,9,63,49,+14,55
Schalke 04,34,14,8,12,47,35,+12,50
B. Leverkusen,34,14,7,13,59,46,+13,49
Werder Bremen,34,12,9,13,64,50,+14,45
Hannover 96,34,10,10,14,49,69,-20,40
Köln,34,11,6,17,35,50,-15,39
E. Frankfurt,34,8,9,17,39,60,-21,33
Bochum,34,7,11,16,39,55,-16,32
M'gladbach,34,8,7,19,39,62,-23,31
Cottbus,34,8,6,20,30,57,-27,30
Karlsruher SC,34,8,5,21,30,54,-24,29
A. Bielefeld,34,4,16,14,29,56,-27,28
