Man City,38,27,5,6,83,32,+51,86
Man United,38,21,11,6,73,44,+29,74
Liverpool,38,20,9,9,68,42,+26,69
Chelsea,38,19,10,9,58,36,+22,67
Leicester,38,20,6,12,68,50,+18,66
West Ham,38,19,8,11,62,47,+15,65
Tottenham,38,18,8,12,68,45,+23,62
Arsenal,38,18,7,13,55,39,+16,61
Leeds United,38,18,5,15,62,54,+8,59
Everton,38,17,8,13,47,48,-1,59
Aston Villa,38,16,7,15,55,46,+9,55
Newcastle,38,12,9,17,46,62,-16,45
Wolverhampton,38,12,9,17,36,52,-16,45
C. Palace,38,12,8,18,41,66,-25,44
Southampton,38,12,7,19,47,68,-21,43
Brighton,38,9,14,15,40,46,-6,41
Burnley,38,10,9,19,33,55,-22,39
Fulham,38,5,13,20,27,53,-26,28
West Bromwich,38,5,11,22,35,76,-41,26
Sheffield Utd,38,7,2,29,20,63,-43,23
