Monaco,38,23,10,5,69,30,+39,79
Paris SG,38,18,13,7,57,31,+26,67
Nantes,38,16,16,6,61,32,+29,64
Bordeaux,38,16,15,7,59,42,+17,63
Metz,38,17,11,10,40,30,+10,62
Auxerre,38,17,10,11,49,32,+17,61
Bastia,38,17,10,11,54,47,+7,61
Lyon,38,16,12,10,59,50,+9,60
RC Strasbourg,38,19,3,16,52,49,+3,60
Montpellier,38,12,15,11,40,40,0,51
Marsilya,38,12,13,13,43,48,-5,49
Guingamp,38,11,13,14,32,36,-4,46
Lens,38,12,9,17,40,52,-12,45
Le Havre,38,10,13,15,34,43,-9,43
Cannes,38,9,14,15,25,41,-16,41
Rennes,38,10,10,18,40,58,-18,40
Caen,38,7,16,15,35,46,-11,37
Nancy,38,9,10,19,33,51,-18,37
