PSV Eindhoven,34,26,6,2,71,23,+48,84
AZ Alkmaar,34,23,5,6,78,32,+46,74
Feyenoord,34,21,8,5,79,34,+45,71
Ajax,34,18,6,10,66,41,+25,60
Groningen,34,16,8,10,46,43,+3,56
Utrecht,34,16,7,11,48,44,+4,55
Heerenveen,34,14,8,12,63,58,+5,50
Roda,34,15,5,14,57,54,+3,50
Twente,34,13,8,13,44,36,+8,47
NEC Nijmegen,34,13,8,13,43,43,0,47
Vitesse,34,13,5,16,52,54,-2,44
RKC Waalwijk,34,11,6,17,48,58,-10,39
Heracles,34,11,6,17,35,58,-23,39
Sp. Rotterdam,34,10,7,17,34,50,-16,37
Den Haag,34,10,5,19,36,62,-26,35
NAC Breda,34,8,9,17,45,66,-21,33
Willem II,34,7,7,20,45,66,-21,28
RBC,34,1,6,27,22,90,-68,9
