Galatasaray,34,24,7,3,77,23,+54,79
Beşiktaş,34,23,6,5,74,27,+47,75
Gaziantepspor,34,17,11,6,49,27,+22,62
Fenerbahçe,34,17,10,7,59,44,+15,61
Gençlerbirliği,34,16,8,10,57,47,+10,56
Trabzonspor,34,15,8,11,47,41,+6,53
Samsunspor,34,16,4,14,51,43,+8,52
Denizlispor,34,13,8,13,55,57,-2,47
Adanaspor,34,13,6,15,51,55,-4,45
Bursaspor,34,12,6,16,51,63,-12,42
Antalyaspor,34,11,8,15,42,58,-16,41
Kocaelispor,34,11,7,16,44,58,-14,40
MKE Ankaragücü,34,9,12,13,45,56,-11,39
Erzurum,34,10,8,16,40,61,-21,38
İstanbulspor,34,8,13,13,38,43,-5,37
Altay,34,10,7,17,34,43,-9,37
Göztepe,34,7,5,22,26,54,-28,26
Vanspor,34,4,6,24,38,78,-40,18
